"Number","Data Layer Name","Cadence Layer Name","Cadence Layer Purpose","Layer Technology Node","Layer Status","Layer Category","Layer Sub Category","Layer Description","Design Layer","Tech Variant - Included in PDK","Customer","Layer Type","Mask Layer Sub-Type","Intermediate Layer Type","Intermediate Layer Sub-Type","GDS Number","GDS Datatype","Oasis Number","Oasis Datatype","Cadence Material Type/Qualifier","Cadence Photo Mask Color/Color State","Cadence Name OA Number","Cadence Purpose OA Number","MDP GDS Number","MDP GDS Datatype","MDP Oasis Number","MDP Oasis Datatype","MDP Layer Type","Associated Mask","Logic Definition","Layers Driving Mask Requirement","Influencing Layers","Photo Layer Short Designation","Display","Mask Number","Related LV","Extended Data Layer Name","Extended GDS Data Type","Extended GDS Number","Extended MDP GDS Data Type","Extended MDP GDS Number","Extended MDP OASIS Data Type","Extended MDP OASIS Number","Extended OASIS Data Type","Extended OASIS Number","Mask Write Boolean","Layer Specific Reference"
"LV-0000194177","Base_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Base layer.","No",,,"Drawn",,,,"123","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194176","NSinker_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with NSinker layer.","No",,,"Drawn",,,,"122","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194174","PISCAP_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with PISCAP layer.","No",,,"Drawn",,,,"120","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194175","BuriedPP","NIL","NIL","180BSL","Active","Common Design FEOL",,"For Isolated High voltage NMOS (pocket Pwell).","No",,,"Drawn",,,,"121","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194181","Metal6_Slot","NIL","NIL","180BSL","Active","Design Utility",,"Metal6 slot.","No",,,"Drawn",,,,"126","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194183","Metal6_Dummy","NIL","NIL","180BSL","Active","Fill",,"Metal 6 Dummy Fill.","No",,,"Drawn",,,,"126","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194182","Metal6_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Metal6 layer.","No",,,"Drawn",,,,"126","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194188","ViaTop_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with ViaTop layer.","No",,,"Drawn",,,,"129","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194190","ALPad_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"ALPad_SPE layer.","No",,,"Drawn",,,,"130","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194187","Metal7_Dummy","NIL","NIL","180BSL","Active","Fill",,"Metal 7 Dummy Fill.","No",,,"Drawn",,,,"128","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194186","Metal7_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Metal7 layer.","No",,,"Drawn",,,,"128","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194184","Via6_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Via6 layer.","No",,,"Drawn",,,,"127","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194185","Metal7_Slot","NIL","NIL","180BSL","Active","Design Utility",,"Metal7 slot.","No",,,"Drawn",,,,"128","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194209","DV2_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"DV2_SPE layer.","No",,,"Drawn",,,,"144","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194231","DV3Pwell_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV3Pwell layer.","No",,,"Drawn",,,,"166","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194232","DV3_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"DV3_SPE layer.","No",,,"Drawn",,,,"167","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194230","DV3Nwell_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV3Nwell layer.","No",,,"Drawn",,,,"165","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194229","PW_NAT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with PW_NAT layer.","No",,,"Drawn",,,,"164","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194227","UHVPBODY_Label","NIL","NIL","180BSL","Active","Design Utility",,"Label for UHV P Body (160;39).","No",,,"Drawn",,,,"160","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194228","Phaseshift_Blk","NIL","NIL","180BSL","Active","Marker Enablement",,"Phaseshift_Blk layer.","No",,,"Drawn",,,,"162","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194233","DV3_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV3 layer.","No",,,"Drawn",,,,"167","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194235","DV3_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"DV3_CD layer.","No",,,"Drawn",,,,"167","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194234","DV3_Dummy","NIL","NIL","180BSL","Active","Fill",,"DV3_Dummy layer.","No",,,"Drawn",,,,"167","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194240","MetalRDL_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with MetalRDL layer.","No",,,"Drawn",,,,"171","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194241","MetalRDL_Dummy","NIL","NIL","180BSL","Active","Fill",,"MetalRDL Dummy Fill.","No",,,"Drawn",,,,"171","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194239","PAD_ALI","NIL","NIL","180BSL","Active","Common Design BEOL",,"Pad on AL interconnection routing path.","No",,,"Drawn",,,,"171","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194238","ViaRDL_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with ViaRDL layer.","No",,,"Drawn",,,,"170","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194236","DV3_NLDD_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV3_NLDD layer.","No",,,"Drawn",,,,"168","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194237","DV3_PLDD_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV3_PLDD layer.","No",,,"Drawn",,,,"169","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194226","Zener_Pimp_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Zener_Pimp layer.","No",,,"Drawn",,,,"155","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194225","ZPVT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with ZPVT layer.","No",,,"Drawn",,,,"150","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194214","DV2_NLDD_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"DV2_NLDD_CD layer.","No",,,"Drawn",,,,"145","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194215","DV2_PLDD_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV2_PLDD layer.","No",,,"Drawn",,,,"146","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194213","DV2_NLDD_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV2_NLDD layer.","No",,,"Drawn",,,,"145","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194212","DV2_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"DV2_CD layer.","No",,,"Drawn",,,,"144","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194210","DV2_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV2 layer.","No",,,"Drawn",,,,"144","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194211","DV2_Dummy","NIL","NIL","180BSL","Active","Fill",,"DV2_Dummy layer.","No",,,"Drawn",,,,"144","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194216","DV2_PLDD_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"DV2_PLDD_CD layer.","No",,,"Drawn",,,,"146","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194218","NW1A_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with NW1A layer.","No",,,"Drawn",,,,"148","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194217","NW1A_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"NW1A_SPE layer.","No",,,"Drawn",,,,"148","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194223","PF1VA_Dummy","NIL","NIL","180BSL","Active","Fill",,"PF1VA_Dummy layer.","No",,,"Drawn",,,,"149","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194224","PF1VA_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"PF1VA_CD layer.","No",,,"Drawn",,,,"149","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194222","PF1VA_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with PF1VA layer.","No",,,"Drawn",,,,"149","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194221","PF1VA_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"PF1VA_SPE layer.","No",,,"Drawn",,,,"149","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194219","NW1A_Dummy","NIL","NIL","180BSL","Active","Fill",,"NW1A_Dummy layer.","No",,,"Drawn",,,,"148","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194220","NW1A_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"NW1A_CD layer.","No",,,"Drawn",,,,"148","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194173","BIPOPN_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with BIPOPN layer.","No",,,"Drawn",,,,"105","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194033","Metal1_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"Metal1_SPE layer.","No",,,"Drawn",,,,"34","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194034","Metal1_OPC_dg","NIL","NIL","180BSL","Active","OPC",,"Drawn Metal1 OPC.","No",,,"Drawn",,,,"34","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000193849","Emitter","NIL","NIL","180BSL","Active","Design Utility",,"Defines NPN-Emitter window.","No",,,"Mask",,,,"124","0",,,,,,,,,,,,,,,,,,"56",,,,,,,,,,,,
"LV-0000193850","Cwell","NIL","NIL","180BSL","Active","Generated Mask",,"Cwell layer.","No",,,"Mask",,,,"125","0",,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,,
"LV-0000193847","NSinker","NIL","NIL","180BSL","Active","Common Design FEOL",,"Implant for PMOS Nwell tap and NPN collector and Poly2 to NSinker capacitor.","No",,,"Mask",,,,"122","0",,,,,,,,,,,,,,,,,,"48",,,,,,,,,,,,
"LV-0000193845","BIPOPN","NIL","NIL","180BSL","Active","Marker Enablement",,"BIPOPN layer.","No",,,"Mask",,,,"105","0",,,,,,,,,,,,,,,,,,"7G",,,,,,,,,,,,
"LV-0000193851","Metal6","NIL","NIL","180BSL","Active","Common Design BEOL",,"Metal 6 interconnect.","No",,,"Mask",,,,"126","0",,,,,,,,,,,,,,,,,,"9N",,,,,,,,,,,,
"LV-0000193853","Metal7","NIL","NIL","180BSL","Active","Common Design BEOL",,"Metal 7 interconnect.","No",,,"Mask",,,,"128","0",,,,,,,,,,,,,,,,,,"9Q",,,,,,,,,,,,
"LV-0000193852","Via6","NIL","NIL","180BSL","Active","Common Design BEOL",,"Metal 7 to metal 6 contact.","No",,,"Mask",,,,"127","0",,,,,,,,,,,,,,,,,,"9P",,,,,,,,,,,,
"LV-0000193858","BJT","NIL","NIL","180BSL","Active","Generated Mask",,"BJT layer.","No",,,"Mask",,,,"133","0",,,,,,,,,,,,,,,,,,"6N",,,,,,,,,,,,
"LV-0000193859","PWLVT","NIL","NIL","180BSL","Active","Generated Mask",,"PWLVT layer.","No",,,"Mask",,,,"135","0",,,,,,,,,,,,,,,,,,"1A",,,,,,,,,,,,
"LV-0000193857","EMIPOLY","NIL","NIL","180BSL","Active","Design Utility",,"Defines NPN-Emitter poly.","No",,,"Mask",,,,"132","0",,,,,,,,,,,,,,,,,,"6F",,,,,,,,,,,,
"LV-0000193856","SIC","NIL","NIL","180BSL","Active","Common Design FEOL",,"Defines Selective Collector implant layer.","No",,,"Mask",,,,"131","0",,,,,,,,,,,,,,,,,,"6E",,,,,,,,,,,,
"LV-0000193854","ViaTop","NIL","NIL","180BSL","Active","Common Design BEOL",,"Top Metal (MT) to (MT-1) contact.","No",,,"Mask",,,,"129","0",,,,,,,,,,,,,,,,,,"9R",,,,,,,,,,,,
"LV-0000193855","ALPad","NIL","NIL","180BSL","Active","Design Utility",,"ALPad layer.","No",,,"Mask",,,,"130","0",,,,,,,,,,,,,,,,,,"9S",,,,,,,,,,,,
"LV-0000193844","PWHV2","NIL","NIL","180BSL","Active","Design Utility",,"Define High Voltage 40V LDNMOS Well Area (98,28).","No",,,"Mask",,,,"98","28",,,,,,,,,,,,,,,,,,"BM",,,,,,,,,,,,
"LV-0000193843","FuseWindow","NIL","NIL","180BSL","Active","Design Utility",,"Metal Fuse window.","No",,,"Mask",,,,"96","0",,,,,,,,,,,,,,,,,,"9A",,,,,,,,,,,,
"LV-0000193833","PRESI","NIL","NIL","180BSL","Active","Common Design FEOL",,"Non-salicided P+ Poly resistor on field.","No",,,"Mask",,,,"83","0",,,,,,,,,,,,,,,,,,"5A",,,,,,,,,,,,
"LV-0000193828","PplusRes_Blk","NIL","NIL","180BSL","Active","Generated Mask",,"PplusRes_Blk layer.","No",,,"Mask",,,,"74","0",,,,,,,,,,,,,,,,,,"51",,,,,,,,,,,,
"LV-0000193834","OXIDE","NIL","NIL","180BSL","Active","Marker Enablement",,"Trench patterning for oxide refill and CMP (83;28).","No",,,"Mask",,,,"83","28",,,,,,,,,,,,,,,,,,"B5",,,,,,,,,,,,
"LV-0000193836","TVIA","NIL","NIL","180BSL","Active","Common Design BEOL",,"Via open for TiN bump-stop liner deposition (84;28).","No",,,"Mask",,,,"84","28",,,,,,,,,,,,,,,,,,"B6",,,,,,,,,,,,
"LV-0000193835","ZON","NIL","NIL","180BSL","Active","Marker Devices",,"Low VT NMOS.","No",,,"Mask",,,,"84","0",,,,,,,,,,,,,,,,,,"6C",,,,,,,,,,,,
"LV-0000193841","Win2","NIL","NIL","180BSL","Active","Design Utility",,"First passivation.","No",,,"Mask",,,,"91","0",,,,,,,,,,,,,,,,,,"9C",,,,,,,,,,,,
"LV-0000193842","LEL","NIL","NIL","180BSL","Active","Marker Enablement",,"Mask for ELVT device Vt implant (94,28).","No",,,"Mask",,,,"94","28",,,,,,,,,,,,,,,,,,"BH",,,,,,,,,,,,
"LV-0000193840","LNN","NIL","NIL","180BSL","Active","Design Utility",,"LNN layer.","No",,,"Mask",,,,"87","0",,,,,,,,,,,,,,,,,,"54",,,,,,,,,,,,
"LV-0000193839","DNUM","NIL","NIL","180BSL","Active","Marker Enablement",,"1x Die ID print for CMOS (86;28).","No",,,"Mask",,,,"86","28",,,,,,,,,,,,,,,,,,"B8",,,,,,,,,,,,
"LV-0000193837","TLIN","NIL","NIL","180BSL","Active","Marker Enablement",,"TiN liner patterning (85;28).","No",,,"Mask",,,,"85","28",,,,,,,,,,,,,,,,,,"B7",,,,,,,,,,,,
"LV-0000193838","PreDope","NIL","NIL","180BSL","Active","Generated Mask",,"PreDope layer.","No",,,"Mask",,,,"85","0",,,,,,,,,,,,,,,,,,"59",,,,,,,,,,,,
"LV-0000193860","TGVT","NIL","NIL","180BSL","Active","Generated Mask",,"TGVT layer.","No",,,"Mask",,,,"136","0",,,,,,,,,,,,,,,,,,"34",,,,,,,,,,,,
"LV-0000193861","BVTP","NIL","NIL","180BSL","Active","Generated Mask",,"BVTP layer.","No",,,"Mask",,,,"137","0",,,,,,,,,,,,,,,,,,"2B",,,,,,,,,,,,
"LV-0000193883","NRESI","NIL","NIL","180BSL","Active","Marker Devices",,"Non-salicided N+ Poly resistor on field.","No",,,"Mask",,,,"172","0",,,,,,,,,,,,,,,,,,"5C",,,,,,,,,,,,
"LV-0000193884","OTP_HIVTP","NIL","NIL","180BSL","Active","Marker Devices",,"Cell Vt adjustment implant for OTP IP, and must not be used for any other purpose.","No",,,"Mask",,,,"177","0",,,,,,,,,,,,,,,,,,"1D",,,,,,,,,,,,
"LV-0000193882","MetalRDL","NIL","NIL","180BSL","Active","Common Design BEOL",,"Metal connected to the Al Cap.","No",,,"Mask",,,,"171","0",,,,,,,,,,,,,,,,,,"9Y",,,,,,,,,,,,
"LV-0000193881","ViaRDL","NIL","NIL","180BSL","Active","Common Design BEOL",,"Via Connecting Top Metal & RDL Metal.","No",,,"Mask",,,,"170","0",,,,,,,,,,,,,,,,,,"9X",,,,,,,,,,,,
"LV-0000193879","DV3_NLDD","NIL","NIL","180BSL","Active","Common Design FEOL",,"Triple Gate NLDD.","No",,,"Mask",,,,"168","0",,,,,,,,,,,,,,,,,,"7B",,,,,,,,,,,,
"LV-0000193880","DV3_PLDD","NIL","NIL","180BSL","Active","Common Design FEOL",,"Triple Gate PLDD.","No",,,"Mask",,,,"169","0",,,,,,,,,,,,,,,,,,"7C",,,,,,,,,,,,
"LV-0000193887","CellSD","NIL","NIL","180BSL","Active","Design Utility",,"Source area in OTP (or EEPROM) Cell.","No",,,"Mask",,,,"182","0",,,,,,,,,,,,,,,,,,"6X",,,,,,,,,,,,
"LV-0000193892","POLYCON","NIL","NIL","180BSL","Active","Generated Mask",,"POLYCON layer.","No",,,"Mask",,,,"194","0",,,,,,,,,,,,,,,,,,"7J",,,,,,,,,,,,
"LV-0000193893","HTNVT","NIL","NIL","180BSL","Active","Generated Mask",,"HTNVT layer.","No",,,"Mask",,,,"195","0",,,,,,,,,,,,,,,,,,"5F",,,,,,,,,,,,
"LV-0000193890","HVT_PLDD","NIL","NIL","180BSL","Active","Common Design FEOL",,"Thin Gate PMOS Vt adjust.","No",,,"Mask",,,,"189","0",,,,,,,,,,,,,,,,,,"6Z",,,,,,,,,,,,
"LV-0000193888","BT","NIL","NIL","180BSL","Active","Generated Mask",,"BT layer.","No",,,"Mask",,,,"186","0",,,,,,,,,,,,,,,,,,"1H",,,,,,,,,,,,
"LV-0000193889","HVT_NLDD","NIL","NIL","180BSL","Active","Common Design FEOL",,"Thin Gate NMOS Vt adjust.","No",,,"Mask",,,,"188","0",,,,,,,,,,,,,,,,,,"6Y",,,,,,,,,,,,
"LV-0000193878","DV3","NIL","NIL","180BSL","Active","Common Design FEOL",,"Triple Gate Oxide.","No",,,"Mask",,,,"167","0",,,,,,,,,,,,,,,,,,"7E",,,,,,,,,,,,
"LV-0000193877","DV3Pwell","NIL","NIL","180BSL","Active","Common Design FEOL",,"Triple Gate Pwell.","No",,,"Mask",,,,"166","0",,,,,,,,,,,,,,,,,,"1R",,,,,,,,,,,,
"LV-0000193866","AntiFuse","NIL","NIL","180BSL","Active","Generated Mask",,"AntiFuse layer.","No",,,"Mask",,,,"142","0",,,,,,,,,,,,,,,,,,"8G",,,,,,,,,,,,
"LV-0000193867","DV2","NIL","NIL","180BSL","Active","Common Design FEOL",,"Additional I/O for Triple Gate Oxide option.","No",,,"Mask",,,,"144","0",,,,,,,,,,,,,,,,,,"6J",,,,,,,,,,,,
"LV-0000193865","ZVT","NIL","NIL","180BSL","Active","Marker Devices",,"Pwell for Zero Vt N-ch transistor.","No",,,"Mask",,,,"141","0",,,,,,,,,,,,,,,,,,"1B",,,,,,,,,,,,
"LV-0000193864","Via7","NIL","NIL","180BSL","Active","Common Design BEOL",,"Metal 8 to metal 7 contact.","No",,,"Mask",,,,"140","0",,,,,,,,,,,,,,,,,,"9W",,,,,,,,,,,,
"LV-0000193862","FuseBot","NIL","NIL","180BSL","Active","Marker Devices",,"Bottom plate of MiM capacitors.","No",,,"Mask",,,,"138","0",,,,,,,,,,,,,,,,,,"8F",,,,,,,,,,,,
"LV-0000193863","Metal8","NIL","NIL","180BSL","Active","Common Design BEOL",,"Metal 8 interconnect.","No",,,"Mask",,,,"139","0",,,,,,,,,,,,,,,,,,"9V",,,,,,,,,,,,
"LV-0000193868","DV2_NLDD","NIL","NIL","180BSL","Active","Generated Mask",,"DV2_NLDD layer.","No",,,"Mask",,,,"145","0",,,,,,,,,,,,,,,,,,"6K",,,,,,,,,,,,
"LV-0000193870","OTP_PMemCell","NIL","NIL","180BSL","Active","Generated Mask",,"OTP_PMemCell layer.","No",,,"Mask",,,,"147","0",,,,,,,,,,,,,,,,,,"6M",,,,,,,,,,,,
"LV-0000193869","DV2_PLDD","NIL","NIL","180BSL","Active","Generated Mask",,"DV2_PLDD layer.","No",,,"Mask",,,,"146","0",,,,,,,,,,,,,,,,,,"6L",,,,,,,,,,,,
"LV-0000193875","PW_NAT","NIL","NIL","180BSL","Active","Common Design FEOL",,"Implant layer to increase Vt for native thin NMOS Transistor.","No",,,"Mask",,,,"164","0",,,,,,,,,,,,,,,,,,"22",,,,,,,,,,,,
"LV-0000193876","DV3Nwell","NIL","NIL","180BSL","Active","Common Design FEOL",,"Triple Gate Nwell.","No",,,"Mask",,,,"165","0",,,,,,,,,,,,,,,,,,"1Q",,,,,,,,,,,,
"LV-0000193874","Zener_Pimp","NIL","NIL","180BSL","Active","Common Design FEOL",,"Over size of Zener_Pdiff.","No",,,"Mask",,,,"155","0",,,,,,,,,,,,,,,,,,"6Q",,,,,,,,,,,,
"LV-0000193873","ZPVT","NIL","NIL","180BSL","Active","Marker Devices",,"Nwell for Zero Vt P-ch transistor.","No",,,"Mask",,,,"150","0",,,,,,,,,,,,,,,,,,"1C",,,,,,,,,,,,
"LV-0000193871","NW1A","NIL","NIL","180BSL","Active","Common Design FEOL",,"NW1A layer.","No",,,"Mask",,,,"148","0",,,,,,,,,,,,,,,,,,"16",,,,,,,,,,,,
"LV-0000193827","Pad2","NIL","NIL","180BSL","Active","Common Design BEOL",,"Pad2 layer.","No",,,"Mask",,,,"71","0",,,,,,,,,,,,,,,,,,"9B",,,,,,,,,,,,
"LV-0000193826","Pillar","NIL","NIL","180BSL","Active","Marker Enablement",,"Pillar.","No",,,"Mask",,,,"69","0",,,,,,,,,,,,,,,,,,"9K",,,,,,,,,,,,
"LV-0000193781","TUNOX","NIL","NIL","180BSL","Active","Common Design FEOL",,"Tunnel oxide window in the memory cell transistor.","No",,,"Mask",,,,"27","0",,,,,,,,,,,,,,,,,,"35",,,,,,,,,,,,
"LV-0000193782","Poly1","NIL","NIL","180BSL","Active","Common Design FEOL",,"Poly1 interconnect, CAP Bottom plate, High Rs Resistor.","No",,,"Mask",,,,"28","0",,,,,,,,,,,,,,,,,,"40",,,,,,,,,,,,
"LV-0000193780","Cell_imp","NIL","NIL","180BSL","Active","Common Design FEOL",,"Implant at cell region.","No",,,"Mask",,,,"26","0",,,,,,,,,,,,,,,,,,"30",,,,,,,,,,,,
"LV-0000193777","D_TRENCH","NIL","NIL","180BSL","Active","Design Utility",,"Define the area of deep trench etch.","No",,,"Mask",,,,"23","28",,,,,,,,,,,,,,,,,,"8P",,,,,,,,,,,,
"LV-0000193783","CAP","NIL","NIL","180BSL","Active","Marker Devices",,"Define Capacitor Dielectric region of PIP Capacitor.","No",,,"Mask",,,,"29","0",,,,,,,,,,,,,,,,,,"45",,,,,,,,,,,,
"LV-0000193790","METAL_SHIELD","NIL","NIL","180BSL","Active","Marker Enablement",,"Metal for customer shielding; add on top of top metal L98.","No",,,"Mask",,,,"35","28",,,,,,,,,,,,,,,,,,"0R",,,,,,,,,,,,
"LV-0000193776","PField","NIL","NIL","180BSL","Active","Common Design FEOL",,"Nch device substrate.","No",,,"Mask",,,,"23","0",,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,,
"LV-0000193765","Zener_Nimp","NIL","NIL","180BSL","Active","Common Design FEOL",,"Over size of Zener_Ndiff.","No",,,"Mask",,,,"13","28",,,,,,,,,,,,,,,,,,"6R",,,,,,,,,,,,
"LV-0000193763","BN","NIL","NIL","180BSL","Active","Common Design FEOL",,"Source and drain area.","No",,,"Mask",,,,"11","0",,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,
"LV-0000193762","TP","NIL","NIL","180BSL","Active","Common Design FEOL",,"TP layer.","No",,,"Mask",,,,"10","0",,,,,,,,,,,,,,,,,,"64",,,,,,,,,,,,
"LV-0000193761","LPN","NIL","NIL","180BSL","Active","Generated Mask",,"LPN layer.","No",,,"Mask",,,,"9","0",,,,,,,,,,,,,,,,,,"58",,,,,,,,,,,,
"LV-0000193766","HVDNW","NIL","NIL","180BSL","Active","Common Design FEOL",,"Define Deep NWELL HV.","No",,,"Mask",,,,"14","28",,,,,,,,,,,,,,,,,,"09",,,,,,,,,,,,
"LV-0000193768","Trench_imp","NIL","NIL","180BSL","Active","Common Design FEOL",,"Trench_imp layer.","No",,,"Mask",,,,"15","28",,,,,,,,,,,,,,,,,,"1S",,,,,,,,,,,,
"LV-0000193767","AV","NIL","NIL","180BSL","Active","Frame",,"Alignment Visibility. Only in frame.","No",,,"Mask",,,,"14","0",,,,,,,,,,,,,,,,,,"14",,,,,,,,,,,,
"LV-0000193773","PVT","NIL","NIL","180BSL","Active","Generated Mask",,"PVT layer.","No",,,"Mask",,,,"20","0",,,,,,,,,,,,,,,,,,"28",,,,,,,,,,,,
"LV-0000193772","NVT","NIL","NIL","180BSL","Active","Common Design FEOL",,"Nch Vt implant for devices except high voltage native Nch and memory cell transistor (MC CG).","No",,,"Mask",,,,"19","0",,,,,,,,,,,,,,,,,,"29",,,,,,,,,,,,
